"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0,0,0,0,0,0,0,0,0,0,0,0,0.0199999999995271,0,0,0,0.0199999999995271,0,0,0.0199999999995271,0,0.0199999999995271,0,0,0,0,0,0,0.0200000000004366,0
0,0,0,0.0200000000004366,0,0,0,0,0,0,0,0,0,0,0.0200000000004366,0.0200000000004366,0,0,0,0,0,0,0,0,0,0.0100000000002183,0,0,0,0
0,0.00999999999930878,0,0.0100000000002183,0,0,0.0100000000002183,0,0,0,0,0,0,0.0199999999995271,0.0200000000004366,0,0,0,0,0,0.0200000000004366,0,0,0,0,0,0,0,0,0.0199999999995271
0,0,0,0,0,0.0200000000004366,0,0,0,0.00999999999930878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200000000004366,0,0.0200000000004366,0
0,0.0100000000002183,0.0200000000004366,0,0,0.0200000000004366,0,0,0,0,0,0.0200000000004366,0,0.0199999999995271,0,0,0,0.0100000000002183,0,0,0.0200000000004366,0,0,0,0.0200000000004366,0,0,0,0,0
0.00999999999930878,0,0,0,0.0199999999995271,0,0.00999999999930878,0.0100000000002183,0.00999999999930878,0,0.0200000000004366,0,0,0,0,0,0.0100000000002183,0,0,0,0,0,0,0,0,0,0,0.00999999999930878,0,0
0.0100000000002183,0,0,0,0,0,0,0.0200000000004366,0,0,0,0,0,0.0199999999995271,0.0200000000004366,0.00999999999930878,0,0,0,0,0.0199999999995271,0,0,0,0,0,0,0,0,0.0199999999995271
0,0,0.0200000000004366,0,0,0,0,0.0200000000004366,0,0,0.0100000000002183,0.0200000000004366,0,0.0100000000002183,0.0199999999995271,0.0200000000004366,0,0.0199999999995271,0.0100000000002183,0,0.00999999999930878,0,0,0.0200000000004366,0,0,0,0,0,0.0199999999995271
0.0199999999995271,0.0100000000002183,0,0,0,0,0.0100000000002183,0,0,0,0,0.0199999999995271,0.0100000000002183,0.0200000000004366,0,0,0.0100000000002183,0.0200000000004366,0,0,0,0.0200000000004366,0.00999999999930878,0.0200000000004366,0,0,0,0.0199999999995271,0,0.0199999999995271
0.0199999999995271,0,0,0.0200000000004366,0.0100000000002183,0.0199999999995271,0,0.0200000000004366,0.0199999999995271,0,0,0.00999999999930878,0.0200000000004366,0.0100000000002183,0.0100000000002183,0,0,0,0.0199999999995271,0.0100000000002183,0,0.0199999999995271,0,0,0,0,0.0100000000002183,0,0,0
