"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
75,25,25,100,50,100,50,100,25,25,100,100,25,100,0,25,25,100,0,25,25,0,25,0,100,50,0,100,100,100
0,25,75,50,100,100,50,75,50,100,50,25,25,50,50,25,50,50,0,0,0,0,25,25,75,50,50,50,25,50
50,25,50,25,50,25,75,75,75,75,50,50,50,50,75,50,50,75,100,100,25,50,50,50,75,50,50,25,75,50
75,75,50,50,50,75,50,75,50,25,50,75,75,50,75,50,50,50,75,75,75,25,50,50,75,75,50,50,25,75
50,50,50,75,50,50,75,75,50,50,75,50,75,50,75,50,75,50,50,50,50,50,50,50,50,75,75,50,75,75
100,75,75,50,75,50,50,50,50,50,50,75,50,75,50,50,50,50,75,75,50,75,50,50,75,75,100,75,50,75
75,50,75,75,50,50,50,75,75,50,75,75,50,25,50,75,75,75,50,50,75,75,75,75,50,75,50,50,75,75
75,75,75,50,75,75,75,50,75,75,75,75,75,75,50,50,75,75,75,75,50,100,75,75,75,75,50,75,50,50
75,50,50,100,50,75,75,50,75,50,50,50,75,50,50,50,50,50,75,50,100,75,75,75,50,75,75,75,75,100
75,50,75,75,75,50,50,75,100,75,50,75,50,75,50,50,75,50,75,50,75,75,50,50,75,75,75,100,100,75
